RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
,47.09,,106,-9.34,0.08,0.07,12.39,65.11,,222.1,-9.73,0.96,0.05,893
,50.85,,117,-9.65,0.3,0.06,,64.81,,243.1,-9.72,0.69,0.04,898
,47.75,,138,-9.2,-0.76,0.13,,71.54,,206.1,-9.29,2.11,0.07,903
,48.58,,139,-9.11,-1.03,0.07,28.46,64.8,,219.1,-9.68,1.6,-0.03,908
33.71,66.29,,128,-9.01,0.05,-0.02,,74.28,,254.1,-9.64,0.6,0.02,913
,53.46,,146,-9.34,-0.25,0.02,25.72,84.2,,213.1,-9.33,0.35,-0.04,918
60.65,39.35,97.1,63,-9.18,1.11,0.23,15.8,90.27,,177.1,-9.18,2.71,0.1,923
,26.65,110.1,40,-8.9,-2.42,0.14,9.73,81.25,20.1,87.1,-8.03,5.8,0.01,928
,38.2,110,68,-8.93,-2.09,-0.06,18.75,99.89,,186.1,-9.41,0.67,-0.06,933
,31.07,133.1,60,-9.09,-1.83,0.05,0.11,85.24,,220.1,-9.47,1.57,0.07,938
53.63,46.37,45.1,39,-8.77,-2.56,0.05,14.76,99.88,,160.1,-9.22,1.59,0.14,943
50.1,49.9,24.1,24,-8.31,-4.71,0.15,0.12,74.89,,152.1,-8.89,4.75,0.35,948
47.68,52.32,40.1,44,-6.85,-5.36,-0.1,25.11,99.89,,180.1,-10.25,1.7,-0.42,953
,48.86,,107,-7.16,-3.21,0.4,0.11,97.91,,192.1,-8.94,3.56,-0.25,958
42.29,57.71,60.1,82,-8.55,-0.1,0.29,2.09,99.87,,152.1,-8.3,3.77,-0.09,963
99.18,,24.1,0.2,-33.39,-5.13,3.89,0.13,99.18,0.2,24.1,3.03,-2.18,-8.73,968
85.49,14.51,83.1,14.1,,-14.28,0.2,0.82,99.95,,415,-5.7,6.79,0.52,973
62.1,37.9,23.1,14.1,,-25.34,7.81,0.05,101.111731,,173.1,-9.67,6.51,0.23,978
72.75,27.25,80.1,30,-6.85,-3.71,-0.16,-1.11,99.96,,482,-8.66,4.81,0.2,983
,28.15,102.1,40,-9.41,-5.23,0.26,0.04,99.96,,470,-9.19,4.33,-0.3,988
67.6,32.4,75.1,36,-8.5,-0.96,-0.07,0.04,101.051821,,182.1,-11.28,0.7,-0.14,993
,17.69,107,23,-8.95,-1.91,0.14,-1.05,97.42,,117.1,-9.63,3.11,0.04,998
,6.29,119.1,8,-8.54,-0.89,0.07,2.58,99.88,,160.1,-9.35,3.51,-0.07,1003
,12.25,136.1,19,-8.61,-0.2,0.08,0.12,98.66,,155.1,-9.31,2.78,0.04,1008
